2025-08-14 10:13:10.778 [info] Starting Python Locator /home/renebraxhoofden/.vscode/extensions/ms-python.python-2025.12.0-linux-x64/python-env-tools/bin/pet server
2025-08-14 10:13:10.820 [info] Discovered env: /usr/bin/python3
2025-08-14 10:13:10.834 [info] Discovered env: /bin/python3
2025-08-14 10:13:10.990 [info] Locator Conda took 213.841426ms
2025-08-14 10:13:10.990 [info] Locator Homebrew took 110.956µs
2025-08-14 10:13:10.991 [info] Locator LinuxGlobal took 434.561448ms
2025-08-14 10:13:10.991 [info] Locator PipEnv took 40.21µs
2025-08-14 10:13:10.991 [info] Locator Pixi took 47.902µs
2025-08-14 10:13:10.991 [info] Locator Poetry took 1.967716ms
2025-08-14 10:13:10.996 [info] Locator PyEnv took 209.896µs
2025-08-14 10:13:10.997 [info] Locator Venv took 31.166µs
2025-08-14 10:13:10.999 [info] Locator VirtualEnv took 83.021µs
2025-08-14 10:13:10.999 [info] Locator VirtualEnvWrapper took 75.666µs
2025-08-14 10:13:11.001 [info] Locator GlobalVirtualEnvs took 5.477979ms
2025-08-14 10:13:11.001 [info] Locator Locators took 448.36269ms
2025-08-14 10:13:11.002 [info] Locator Path took 695.42871ms
2025-08-14 10:13:11.002 [info] Locator Workspaces took 23.60784ms
2025-08-14 10:13:11.003 [info] Refresh completed in 696ms
2025-08-14 10:13:11.434 [info] Resolved Python Environment /usr/bin/python3
